公司,代码,上市板块,产业位置,对应节点,研究逻辑,研究观察样本
工业富联,601138.SH,主板,AI服务器整机/ODM,AI服务器整机/ODM,整机交付样本，需看AI服务器收入、客户结构和毛利率。,高
浪潮信息,000977.SZ,主板,AI服务器/整机,AI服务器整机/ODM,服务器平台样本，需看GPU供给和订单兑现。,高
中科曙光,603019.SH,主板,服务器/HPC/数据中心,AI服务器整机/ODM,国产算力系统样本，需看订单和项目节奏。,中高
英维克,002837.SZ,主板,数据中心温控、液冷,CDU/液冷分配单元,液冷链条代表样本，需看项目交付和液冷收入占比。,高
高澜股份,300499.SZ,创业板,液冷设备、热管理,CDU/液冷分配单元,热管理扩散样本，需看数据中心客户和批量能力。,中高
同飞股份,300990.SZ,创业板,工业温控、液冷,CDU/液冷分配单元,温控能力可映射液冷，需核验服务器项目占比。,中
飞荣达,300602.SZ,创业板,导热材料、散热结构,TIM/导热材料/均热,导热和结构材料样本，需拆分AI服务器收入。,中
中石科技,300684.SZ,创业板,导热材料,TIM/导热材料/均热,热管理材料扩散样本，需看客户导入。,中
科华数据,002335.SZ,主板,UPS、数据中心电源,BBU/UPS备电,电源和数据中心样本，需看AI数据中心项目。,中高
科士达,002518.SZ,主板,UPS、电源、数据中心基础设施,BBU/UPS备电,备电和电源链样本，需看项目交付。,中
麦格米特,002851.SZ,主板,电源、电控,服务器电源PSU,电源平台型样本，需核验服务器电源客户。,中
中航光电,002179.SZ,主板,连接器,高速背板连接器,连接器平台型公司，需区分军工/新能源/服务器占比。,中高
瑞可达,688800.SH,科创板,连接器、液冷连接,快接头/管路/泵阀,连接与液冷接口样本，需看AI服务器客户导入。,中高
鼎通科技,688668.SH,科创板,高速通信连接器组件,高速背板连接器,高速连接器样本，需看服务器和交换机客户。,中高
沃尔核材,002130.SZ,主板,高速通信线、材料,DAC/ACC/AEC铜缆,高速线缆材料样本，需看800G/1.6T客户。,中
兆龙互连,300913.SZ,创业板,数据电缆、连接组件,DAC/ACC/AEC铜缆,铜互连扩散样本，需看高速产品占比。,中
沪电股份,002463.SZ,主板,AI服务器PCB/交换机PCB,AI服务器PCB/背板,与PCB专题交叉，需看高多层板和材料等级。,中高
胜宏科技,300476.SZ,创业板,PCB,AI服务器PCB/背板,AI服务器PCB样本，需看订单和产品结构。,中
顺络电子,002138.SZ,主板,电感、被动元件,MLCC/功率电感,功率电感扩散样本，需看服务器规格。,中
