阶段,节点,属性,产业含义,重点观察
设计与前道接口,Chiplet架构与Die-to-Die接口,UCIe/BoW等接口、IP复用和异构集成，是Chiplet从概念进入量产的前提。,核心路线,关注接口生态、IP许可、系统厂商自研ASIC进度。
设计与前道接口,Known Good Die良率管理,先进封装把多颗裸片装在一起，单颗裸片良率和可追溯性影响总成品率。,隐性卡口,关注晶圆测试、探针卡、数据追溯和KGD流程。
设计与前道接口,EDA/封装协同设计,先进封装需要电、热、力、信号完整性协同，不再是简单后道组装。,能力底座,关注封装设计服务、仿真软件、设计规则和客户验证。
设计与前道接口,先进制程晶圆接口,AI GPU/ASIC多采用先进制程，封装产能与先进晶圆产能互相制约。,需求源头,关注先进节点供给、晶圆涨价和高端客户排产。
晶圆级封装前段,Bumping/Cu Pillar凸点,提供芯片与基板或中介层的垂直互联，细间距铜柱是高端封装基础。,核心工艺,关注凸点线宽间距、良率、产能稼动和客户认证。
晶圆级封装前段,RDL重布线,把芯片焊盘重新布线到更适合封装互联的位置，是Fan-Out和2.5D的重要环节。,核心工艺,关注微细线宽、介质材料、电镀与显影能力。
晶圆级封装前段,TSV硅通孔,为硅中介层和3D集成提供垂直连接，工艺涉及刻蚀、绝缘、填铜和CMP。,高壁垒,关注深硅刻蚀、填孔、翘曲控制和可靠性。
晶圆级封装前段,Fan-Out扇出封装,通过重构晶圆和RDL扩展I/O，适合高集成和轻薄场景。,扩散路线,关注面板级封装、良率和成本曲线。
晶圆级封装前段,Hybrid Bonding混合键合,用于更高密度3D互联，要求表面平整度、洁净度和对准精度极高。,前沿卡口,关注设备、清洗、CMP和量产节点。
2.5D/3D系统集成,硅中介层Interposer,连接GPU/ASIC与HBM，承担高带宽、低延迟和密集I/O互联。,S级卡口,关注中介层尺寸、良率、TSV能力和晶圆级产能。
2.5D/3D系统集成,CoWoS/2.5D封装,当前AI GPU主流高端封装路线之一，产能扩张和排产观察样本直接影响AI芯片交付。,S级卡口,关注月产能、客户排队、扩产节奏和封测协同。
2.5D/3D系统集成,SoIC/3D堆叠,将芯片垂直堆叠以提升带宽和能效，是后续更高密度集成方向。,前沿路线,关注混合键合、热管理和可靠性验证。
2.5D/3D系统集成,HBM堆叠与集成,HBM与GPU/ASIC需在封装侧协同，供应紧张会反向约束先进封装产能。,S级卡口,关注HBM代际、良率、内存厂排产和AI服务器拉货。
2.5D/3D系统集成,ABF封装基板,承载高端CPU/GPU/ASIC封装，层数、线宽线距和大尺寸能力影响进入门槛。,S级卡口,关注ABF载板扩产、良率、客户认证和上游树脂供应。
关键材料与设备,临时键合/解键合材料,用于薄晶圆加工和Fan-Out/3D封装，材料稳定性和残胶控制直接影响良率。,材料卡口,关注国产导入、客户验证和重复采购。
关键材料与设备,底填胶Underfill,填充芯片与基板间隙，缓解热机械应力，是高可靠封装关键材料。,材料卡口,关注低翘曲、低CTE、流动性和车规/服务器验证。
关键材料与设备,环氧塑封料EMC,保护芯片并承担机械可靠性，先进封装要求低翘曲、低应力和高纯度。,材料卡口,关注球形硅微粉、树脂体系和封测客户份额。
关键材料与设备,热界面材料与散热,AI芯片功耗上升后，封装散热从配套材料变成系统级瓶颈。,扩散卡口,关注液冷、均热板、TIM、石墨/导热垫片。
关键材料与设备,电镀/CMP/清洗设备,支撑RDL、TSV填铜、表面平坦化和洁净控制，是良率稳定的工艺底座。,设备底座,关注设备国产替代、先进封装订单和客户验收。
关键材料与设备,X-ray/SAM/AOI检测,先进封装缺陷隐蔽，非破坏检测和在线量测成为量产必需能力。,检测卡口,关注检测分辨率、节拍、AI识别和客户产线导入。
封装测试与可靠性,OSAT先进封装产能,封测厂的先进封装线影响国内承接Chiplet和高端系统封装的能力边界。,核心承接,关注资本开支、产线稼动、客户结构和收入占比。
封装测试与可靠性,高速ATE测试,AI芯片、高速接口和存储互联需要高端测试机与测试方案。,测试卡口,关注SOC/存储/高速接口测试能力和客户平台。
封装测试与可靠性,探针卡与晶圆测试,KGD筛选依赖高密度探针卡和晶圆测试，越高端封装越依赖前置测试。,隐性卡口,关注MEMS探针、细间距、国产导入和复购。
封装测试与可靠性,老化与可靠性验证,热循环、湿热、功率循环和系统级老化影响服务器和车规应用可靠性。,验证卡口,关注验证设备、实验室能力和大客户认证。
下游需求与供需信号,AI GPU/ASIC,训练和推理芯片需要更高带宽、更低功耗和更大封装面积，直接拉动CoWoS类需求。,需求主线,关注云厂商资本开支、ASIC迭代和GPU交付。
下游需求与供需信号,HBM供给周期,HBM产能、良率和代际切换会影响先进封装排产与交付节奏。,供需主线,关注HBM3E/HBM4、内存厂资本开支和涨价信号。
下游需求与供需信号,高速交换芯片,AI集群网络升级带来交换芯片和光互联需求，对高端封装和基板提出更高要求。,扩散需求,关注800G/1.6T交换、CPO联动和高频高速基材。
下游需求与供需信号,国产替代导入,国内高端封装、材料、设备和基板环节仍在追赶，客户验证是关键分水岭。,国产替代,关注验证通过、批量订单、良率爬坡和收入兑现。
下游需求与供需信号,产能扩张与交期,CoWoS、ABF、HBM和高端测试交期变化，是产业景气度较直观的外部信号。,景气信号,关注涨价、长协、扩产、稼动率和中报兑现。
